File_name,Prompt_no,Task_backup,annotation,Dashboard_version,Algorithm,ID,Prompt,Representations,Auto_assessment,Task,Task_specific_label,img2img_instructions,Linked_prompts
p1701_1_v0.0.5_pd230208.png,1701,Controlled single object,True,v0.0.5_pd230208,Dalle,1701,a book,book,True,Controlled single object,,,
p1724_1_v0.0.5_pd230208.png,1724,Controlled single object,True,v0.0.5_pd230208,Dalle,1724,a toothbrush,toothbrush,True,Controlled single object,,,
p1727_1_v0.0.5_pd230208.png,1727,Controlled single object,True,v0.0.5_pd230208,Dalle,1727,a remote,remote,True,Controlled single object,,,
p1734_1_v0.0.5_pd230208.png,1734,Controlled single object,True,v0.0.5_pd230208,Dalle,1734,a toothbrush,toothbrush,True,Controlled single object,,,
p1744_1_v0.0.5_pd230208.png,1744,Controlled single object,True,v0.0.5_pd230208,Dalle,1744,a toothbrush,toothbrush,True,Controlled single object,,,
p1702_1_v0.0.5_pd230208.png,1702,Controlled single object,True,v0.0.5_pd230208,Dalle,1702,a spoon,spoon,True,Controlled single object,,,
p1766_1_v0.0.5_pd230208.png,1766,Controlled single object,True,v0.0.5_pd230208,Dalle,1766,a bottle,bottle,True,Controlled single object,,,
p1704_1_v0.0.5_pd230208.png,1704,Controlled single object,True,v0.0.5_pd230208,Dalle,1704,a toothbrush,toothbrush,True,Controlled single object,,,
p1706_1_v0.0.5_pd230208.png,1706,Controlled single object,True,v0.0.5_pd230208,Dalle,1706,a cup,cup,True,Controlled single object,,,
p1707_1_v0.0.5_pd230208.png,1707,Controlled single object,True,v0.0.5_pd230208,Dalle,1707,a remote,remote,True,Controlled single object,,,
p1712_1_v0.0.5_pd230208.png,1712,Controlled single object,True,v0.0.5_pd230208,Dalle,1712,a spoon,spoon,True,Controlled single object,,,
p1714_1_v0.0.5_pd230208.png,1714,Controlled single object,True,v0.0.5_pd230208,Dalle,1714,a toothbrush,toothbrush,True,Controlled single object,,,
p1716_1_v0.0.5_pd230208.png,1716,Controlled single object,True,v0.0.5_pd230208,Dalle,1716,a cup,cup,True,Controlled single object,,,
p1721_1_v0.0.5_pd230208.png,1721,Controlled single object,True,v0.0.5_pd230208,Dalle,1721,a book,book,True,Controlled single object,,,
p1725_1_v0.0.5_pd230208.png,1725,Controlled single object,True,v0.0.5_pd230208,Dalle,1725,an orange,orange,True,Controlled single object,,,
p1732_1_v0.0.5_pd230208.png,1732,Controlled single object,True,v0.0.5_pd230208,Dalle,1732,a spoon,spoon,True,Controlled single object,,,
p1736_1_v0.0.5_pd230208.png,1736,Controlled single object,True,v0.0.5_pd230208,Dalle,1736,a cup,cup,True,Controlled single object,,,
